,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,387.47B,370.19B,345.19B,384.00B,340.39B,369.80B
1,Enterprise Value 3,398.73B,379.75B,353.59B,395.28B,354.53B,383.83B
2,Trailing P/E,25.86,21.94,23.29,27.78,21.46,25.79
3,Forward P/E 1,16.23,18.15,14.64,16.05,14.16,16.18
4,PEG Ratio (5 yr expected) 1,3.19,4.11,2.88,3.43,2.89,3.10
5,Price/Sales (ttm),4.88,4.55,4.29,4.82,4.32,4.64
6,Price/Book (mrq),6.15,6.04,5.80,6.60,5.60,6.24
7,Enterprise Value/Revenue 3,4.95,20.71,17.09,19.05,17.10,18.67
8,Enterprise Value/EBITDA 6,16.94,66.49,42.70,64.60,103.60,43.47
