,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,158.18B,173.22B,112.51B,130.94B,111.97B,107.51B
1,Enterprise Value 3,239.57B,199.12B,139.31B,158.70B,143.82B,139.42B
2,Trailing P/E,19.61,17.38,14.43,39.00,26.95,20.37
3,Forward P/E 1,7.37,10.07,7.70,8.96,7.96,8.31
4,PEG Ratio (5 yr expected) 1,,,85.61,1.41,1.30,2.25
5,Price/Sales (ttm),3.78,4.28,3.40,4.01,3.47,3.38
6,Price/Book (mrq),10.75,,,,,
7,Enterprise Value/Revenue 3,6.61,19.10,16.16,18.23,16.96,16.89
8,Enterprise Value/EBITDA 6,18.66,133.28,33.01,38.31,48.20,83.64
