,Unnamed: 0,As of Date: 9/19/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,94.56B,103.46B,84.16B,183.37B,214.12B,204.80B
1,Enterprise Value 3,123.51B,126.86B,101.43B,197.11B,223.73B,211.82B
2,Trailing P/E,,,,49.66,44.40,20.86
3,Forward P/E 1,36.63,,35.09,16.31,17.01,21.69
4,PEG Ratio (5 yr expected) 1,6.53,,5.16,0.99,0.92,1.67
5,Price/Sales (ttm),1.42,1.47,1.10,2.14,2.36,2.10
6,Price/Book (mrq),,,,,,1.64k
7,Enterprise Value/Revenue 3,1.85,10.74,6.00,11.01,11.20,13.45
8,Enterprise Value/EBITDA 6,-48.93,-54.61,-148.08,-133.91,114.38,-77.67
