,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,15.13B,14.84B,12.83B,17.41B,17.63B,15.29B
1,Enterprise Value 3,21.41B,20.67B,19.27B,24.10B,24.00B,21.13B
2,Trailing P/E,45.32,55.12,265.00,19.68,17.30,13.97
3,Forward P/E 1,2.50k,2.50k,2.50k,107.53,65.79,66.67
4,PEG Ratio (5 yr expected) 1,,,,52.80,7.02,7.09
5,Price/Sales (ttm),6.40,6.40,5.84,8.79,9.38,8.47
6,Price/Book (mrq),2.13,2.05,2.11,2.94,2.91,2.69
7,Enterprise Value/Revenue 3,9.55,35.13,32.94,45.33,44.61,42.99
8,Enterprise Value/EBITDA 6,16.58,68.71,37.86,83.34,124.84,99.73
