,Unnamed: 0,As of Date: 8/13/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,289.75B,200.84B,96.94B,75.72B,43.36B,39.82B
1,Enterprise Value 3,296.61B,207.96B,105.14B,84.79B,52.50B,50.16B
2,Trailing P/E,751.09,,,,,
3,Forward P/E 1,238.10,370.37,91.74,95.24,43.29,
4,PEG Ratio (5 yr expected) 1,2.25,3.47,1.05,,1.24,
5,Price/Sales (ttm),11.55,7.61,3.77,3.00,1.67,1.70
6,Price/Book (mrq),29.40,21.90,14.65,12.54,7.59,8.69
7,Enterprise Value/Revenue 3,11.54,34.45,17.57,11.48,8.33,7.90
8,Enterprise Value/EBITDA 6,84.96,234.46,132.75,92.07,58.87,131.75
