,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,7.13B,6.15B,6.21B,7.86B,7.64B,6.54B
1,Enterprise Value 3,7.20B,6.36B,6.36B,8.12B,8.16B,7.27B
2,Trailing P/E,18.81,17.96,17.82,31.82,22.11,23.43
3,Forward P/E 1,11.60,11.81,11.05,13.37,12.84,12.30
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),0.72,0.63,0.64,0.84,0.84,0.75
6,Price/Book (mrq),1.19,1.15,1.10,1.39,1.33,1.20
7,Enterprise Value/Revenue 3,0.71,2.58,2.48,3.11,3.27,2.86
8,Enterprise Value/EBITDA 6,,,,,,
