,Unnamed: 0,As of Date: 8/17/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,212.87B,200.68B,165.14B,141.98B,117.28B,160.60B
1,Enterprise Value 3,221.51B,210.20B,174.88B,149.98B,124.87B,167.56B
2,Trailing P/E,81.53,92.11,90.92,103.71,105.36,131.19
3,Forward P/E 1,76.34,71.94,62.50,61.73,48.78,107.53
4,PEG Ratio (5 yr expected) 1,2.90,3.02,2.75,2.23,1.76,3.87
5,Price/Sales (ttm),9.65,9.61,8.42,7.74,6.86,9.98
6,Price/Book (mrq),22.80,23.86,21.78,20.69,19.21,28.20
7,Enterprise Value/Revenue 3,9.79,34.19,30.32,27.43,23.81,34.03
8,Enterprise Value/EBITDA 6,16.09,54.48,50.08,51.51,35.82,56.39
