,Unnamed: 0,As of Date: 9/19/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,207.12B,215.40B,207.70B,283.51B,276.36B,244.56B
1,Enterprise Value 3,381.38B,391.30B,380.52B,464.38B,459.07B,431.77B
2,Trailing P/E,17.73,15.42,15.42,17.52,16.10,12.60
3,Forward P/E 1,9.12,9.57,8.15,10.85,10.56,9.31
4,PEG Ratio (5 yr expected) 1,7.36,7.72,3.11,4.61,4.49,4.77
5,Price/Sales (ttm),1.21,1.23,1.18,1.57,1.51,1.34
6,Price/Book (mrq),1.18,1.21,1.13,1.55,1.50,1.32
7,Enterprise Value/Revenue 3,2.18,9.56,8.90,9.92,10.30,9.60
8,Enterprise Value/EBITDA 6,7.14,33.09,24.54,38.23,32.98,30.15
