,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,12.26B,9.63B,9.04B,13.21B,10.85B,11.12B
1,Enterprise Value 3,31.79B,28.85B,27.79B,31.49B,29.02B,29.03B
2,Trailing P/E,65.82,32.93,30.22,27.64,29.18,24.73
3,Forward P/E 1,12.12,10.50,9.38,13.72,11.31,12.50
4,PEG Ratio (5 yr expected) 1,1.87,1.62,1.33,1.55,1.42,1.69
5,Price/Sales (ttm),1.29,0.98,0.89,1.28,1.03,1.05
6,Price/Book (mrq),4.98,3.79,3.02,4.21,3.38,3.44
7,Enterprise Value/Revenue 3,3.31,13.01,11.88,12.96,11.06,11.69
8,Enterprise Value/EBITDA 6,10.64,48.57,33.84,49.36,31.01,44.19
