,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,37.46B,39.00B,30.23B,39.23B,34.11B,37.87B
1,Enterprise Value 3,63.51B,66.38B,57.20B,67.59B,63.79B,67.90B
2,Trailing P/E,22.23,20.44,15.66,,,
3,Forward P/E 1,12.33,13.93,11.12,12.12,10.54,11.12
4,PEG Ratio (5 yr expected) 1,2.67,3.02,2.44,9.70,7.87,3.48
5,Price/Sales (ttm),1.47,1.55,1.21,1.55,1.33,1.44
6,Price/Book (mrq),0.76,0.76,0.59,0.76,0.66,0.73
7,Enterprise Value/Revenue 3,2.50,9.98,9.29,10.34,10.50,10.60
8,Enterprise Value/EBITDA 6,22.74,-65.46,52.28,74.27,35.38,60.52
