,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,46.72B,44.59B,38.14B,48.34B,45.31B,46.42B
1,Enterprise Value 3,40.76B,40.62B,33.95B,45.01B,41.23B,41.95B
2,Trailing P/E,26.82,27.67,25.91,35.24,34.63,41.59
3,Forward P/E 1,18.83,19.68,15.85,20.12,18.69,21.05
4,PEG Ratio (5 yr expected) 1,1.55,1.62,1.44,1.87,1.74,2.13
5,Price/Sales (ttm),4.34,4.14,3.61,4.64,4.35,4.38
6,Price/Book (mrq),12.97,14.07,11.30,13.84,11.81,9.53
7,Enterprise Value/Revenue 3,3.71,16.27,10.55,15.60,17.33,16.10
8,Enterprise Value/EBITDA 6,13.33,59.47,28.24,67.59,81.17,75.32
