,Unnamed: 0,As of Date: 9/17/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,97.64B,89.85B,78.52B,101.47B,94.54B,99.92B
1,Enterprise Value 3,114.79B,108.12B,97.35B,113.98B,108.22B,113.60B
2,Trailing P/E,19.24,18.31,17.48,20.93,19.83,18.40
3,Forward P/E 1,18.73,19.27,14.60,18.28,15.87,17.83
4,PEG Ratio (5 yr expected) 1,5.43,4.76,2.48,4.58,4.12,4.26
5,Price/Sales (ttm),3.15,2.81,2.49,3.24,3.03,3.19
6,Price/Book (mrq),8.99,8.80,7.80,9.48,9.38,10.28
7,Enterprise Value/Revenue 3,3.66,15.07,12.06,14.05,13.54,13.90
8,Enterprise Value/EBITDA 6,13.28,47.88,45.70,63.36,44.10,58.77
