,Unnamed: 0,As of Date: 8/12/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,508.13B,428.28B,442.72B,551.97B,509.00B,521.87B
1,Enterprise Value 3,578.75B,489.88B,481.91B,579.39B,564.28B,592.93B
2,Trailing P/E,23.65,44.80,5.46,20.57,17.66,19.47
3,Forward P/E 1,113.64,94.34,13.55,18.87,16.47,12.74
4,PEG Ratio (5 yr expected) 1,,,0.22,0.31,0.27,0.21
5,Price/Sales (ttm),1.99,1.84,1.36,2.15,1.96,2.04
6,Price/Book (mrq),1.29,1.15,1.04,1.39,1.33,1.41
7,Enterprise Value/Revenue 3,2.22,5.05,-53.49,5.99,7.43,8.05
8,Enterprise Value/EBITDA 6,,,,,,
