,Unnamed: 0,As of Date: 9/14/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,156.02B,189.09B,160.55B,295.45B,298.76B,324.38B
1,Enterprise Value 3,212.96B,237.29B,204.38B,337.24B,339.74B,360.62B
2,Trailing P/E,21.96,16.75,11.30,20.28,17.01,17.66
3,Forward P/E 1,22.52,,19.57,17.79,17.70,19.34
4,PEG Ratio (5 yr expected) 1,1.93,,3.82,3.48,3.54,3.44
5,Price/Sales (ttm),0.74,0.77,0.63,1.14,1.11,1.19
6,Price/Book (mrq),0.87,1.04,0.84,1.56,1.56,1.70
7,Enterprise Value/Revenue 3,1.00,7.35,3.71,5.35,5.36,5.34
8,Enterprise Value/EBITDA 6,6.92,66.04,35.18,29.23,34.58,38.04
