,Unnamed: 0,As of Date: 8/13/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,740.38B,647.15B,475.55B,585.37B,508.24B,550.92B
1,Enterprise Value 3,692.67B,597.20B,431.29B,542.24B,467.45B,512.88B
2,Trailing P/E,31.77,31.15,25.94,32.89,30.18,28.68
3,Forward P/E 1,33.22,31.45,19.49,22.22,18.15,25.19
4,PEG Ratio (5 yr expected) 1,1.29,1.34,0.80,1.20,0.94,1.30
5,Price/Sales (ttm),9.95,8.90,6.79,8.88,8.22,9.50
6,Price/Book (mrq),6.70,6.15,4.71,6.23,5.73,6.37
7,Enterprise Value/Revenue 3,9.22,31.96,24.32,25.72,26.48,30.37
8,Enterprise Value/EBITDA 6,19.83,77.89,57.58,48.54,54.35,83.70
