,Unnamed: 0,As of Date: 8/15/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,26.76B,25.25B,11.08B,6.58B,5.29B,4.82B
1,Enterprise Value 3,24.22B,24.18B,10.11B,5.56B,4.26B,3.74B
2,Trailing P/E,,,,,,
3,Forward P/E 1,,,,,,
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),224.12,411.44,164.55,79.73,49.42,39.44
6,Price/Book (mrq),9.08,15.39,9.44,5.26,3.95,3.34
7,Enterprise Value/Revenue 3,228.79,364.46,1.21k,395.44,249.71,285.95
8,Enterprise Value/EBITDA 6,-53.88,-225.81,-87.91,-49.47,-37.15,-29.61
