,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,13.83B,15.29B,14.00B,14.77B,13.83B,14.04B
1,Enterprise Value 3,17.84B,20.22B,20.27B,21.55B,19.33B,19.68B
2,Trailing P/E,,,,,10.42,247.89
3,Forward P/E 1,8.62,9.44,8.77,10.11,9.46,8.77
4,PEG Ratio (5 yr expected) 1,4.61,1.83,1.70,7.38,315.36,0.19
5,Price/Sales (ttm),0.09,0.10,0.09,0.10,0.10,0.10
6,Price/Book (mrq),7.73,12.71,14.01,16.41,2.18,2.26
7,Enterprise Value/Revenue 3,0.12,0.55,0.52,0.54,0.52,0.53
8,Enterprise Value/EBITDA 6,-6.81,18.57,26.61,37.67,-3.83,35.98
