,Unnamed: 0,As of Date: 8/9/2020Current,4/30/2020,1/31/2020,10/31/2019,7/31/2019
0,Market Cap (intraday) 5,366.31B,344.23B,320.57B,332.90B,314.25B
1,Enterprise Value 3,426.82B,407.20B,387.91B,398.33B,380.43B
2,Trailing P/E,24.59,23.42,22.94,26.53,38.46
3,Forward P/E 1,25.64,23.42,22.03,22.99,23.04
4,PEG Ratio (5 yr expected) 1,4.01,3.92,3.68,4.11,4.70
5,Price/Sales (ttm),0.69,0.67,0.63,0.66,0.63
6,Price/Book (mrq),5.37,4.61,4.47,4.73,4.61
7,Enterprise Value/Revenue 3,0.80,3.02,2.74,3.11,2.92
8,Enterprise Value/EBITDA 6,12.58,46.38,42.38,51.54,45.97
