,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,12.44B,10.88B,6.53B,7.70B,8.05B,11.80B
1,Enterprise Value 3,12.01B,10.44B,6.11B,7.25B,7.56B,11.30B
2,Trailing P/E,79.35,54.53,27.23,35.61,31.82,46.43
3,Forward P/E 1,,,,,,
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),15.81,13.16,7.94,9.58,10.30,15.62
6,Price/Book (mrq),11.29,10.21,6.24,7.76,8.03,12.62
7,Enterprise Value/Revenue 3,15.05,63.32,29.55,32.72,36.89,54.43
8,Enterprise Value/EBITDA 6,49.21,263.94,95.32,95.86,116.56,173.67
