,Unnamed: 0,As of Date: 9/19/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,60.80B,58.57B,45.82B,45.68B,40.65B,36.16B
1,Enterprise Value 3,57.14B,55.34B,42.70B,43.41B,38.73B,34.13B
2,Trailing P/E,33.66,37.57,30.50,28.16,24.16,20.70
3,Forward P/E 1,25.00,30.86,24.94,25.64,22.22,22.52
4,PEG Ratio (5 yr expected) 1,1.97,2.44,1.97,2.77,3.80,3.66
5,Price/Sales (ttm),8.72,9.08,7.07,6.65,5.74,4.94
6,Price/Book (mrq),4.44,4.50,3.58,3.73,3.39,3.12
7,Enterprise Value/Revenue 3,8.18,28.64,23.88,21.86,30.21,24.45
8,Enterprise Value/EBITDA 6,22.31,67.33,55.75,70.82,106.99,65.51
