,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,13.59B,15.91B,10.23B,20.37B,18.43B,19.29B
1,Enterprise Value 3,20.84B,22.76B,16.62B,25.93B,23.72B,24.64B
2,Trailing P/E,,,,,,
3,Forward P/E 1,,,,120.48,48.08,
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),2.46,2.54,1.54,3.09,2.70,2.87
6,Price/Book (mrq),2.13,2.21,1.17,2.29,1.98,2.07
7,Enterprise Value/Revenue 3,3.82,27.33,12.27,15.40,15.01,14.84
8,Enterprise Value/EBITDA 6,-97.39,63.94,-9.38,42.02,40.61,32.55
