,Unnamed: 0,As of Date: 8/13/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,1.02T,964.51B,795.03B,921.14B,842.96B,751.07B
1,Enterprise Value 3,920.03B,864.09B,691.32B,813.71B,735.06B,649.85B
2,Trailing P/E,33.15,28.54,23.65,28.70,24.62,27.11
3,Forward P/E 1,35.46,33.90,21.37,24.51,21.10,23.42
4,PEG Ratio (5 yr expected) 1,2.25,2.89,1.25,1.86,1.56,1.75
5,Price/Sales (ttm),6.29,5.91,5.02,6.03,5.77,5.34
6,Price/Book (mrq),4.94,4.73,3.95,4.72,4.38,4.09
7,Enterprise Value/Revenue 3,5.54,22.56,16.80,17.66,18.15,16.69
8,Enterprise Value/EBITDA 6,19.06,74.01,63.51,57.57,63.53,43.30
