,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,19.76B,20.55B,18.00B,17.50B,17.02B,17.92B
1,Enterprise Value 3,20.48B,21.01B,18.93B,18.29B,18.21B,19.05B
2,Trailing P/E,12.79,13.24,28.55,21.04,18.25,19.78
3,Forward P/E 1,11.65,12.30,11.71,11.38,10.81,11.51
4,PEG Ratio (5 yr expected) 1,3.20,10.61,12.07,14.04,2.24,42.60
5,Price/Sales (ttm),0.11,0.11,0.10,0.10,0.10,0.11
6,Price/Book (mrq),5.12,5.72,6.09,6.08,5.69,5.85
7,Enterprise Value/Revenue 3,0.11,0.46,0.40,0.38,0.40,0.42
8,Enterprise Value/EBITDA 6,12.91,43.60,45.18,48.07,59.56,35.81
