,Unnamed: 0,As of Date: 9/17/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,103.45B,105.46B,117.57B,222.43B,215.34B,212.67B
1,Enterprise Value 3,,,,,,
2,Trailing P/E,27.90,8.95,7.09,11.59,10.42,10.47
3,Forward P/E 1,11.99,18.98,7.39,12.27,11.01,9.95
4,PEG Ratio (5 yr expected) 1,2.07,3.51,1.06,2.15,1.75,1.36
5,Price/Sales (ttm),1.36,1.36,1.49,2.84,2.72,2.61
6,Price/Book (mrq),0.65,0.65,0.71,1.30,1.22,1.20
7,Enterprise Value/Revenue 3,,,,,,
8,Enterprise Value/EBITDA 6,,,,,,
