,Unnamed: 0,As of Date: 9/19/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,19.86B,18.67B,15.46B,17.91B,16.71B,16.23B
1,Enterprise Value 3,24.46B,23.53B,19.80B,22.15B,20.90B,19.87B
2,Trailing P/E,27.66,27.54,23.16,26.23,24.54,23.74
3,Forward P/E 1,22.88,25.06,20.58,23.31,21.60,23.64
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),2.89,2.68,2.20,2.58,2.42,2.35
6,Price/Book (mrq),3.62,3.71,3.00,3.70,3.42,3.34
7,Enterprise Value/Revenue 3,3.55,15.01,10.71,13.15,11.62,12.14
8,Enterprise Value/EBITDA 6,16.69,68.33,34.20,84.62,74.46,74.87
