,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,23.50B,20.50B,16.51B,22.85B,20.97B,20.70B
1,Enterprise Value 3,25.41B,22.68B,18.93B,24.72B,23.05B,22.80B
2,Trailing P/E,26.51,21.90,19.21,26.96,25.79,26.33
3,Forward P/E 1,24.81,24.27,18.45,22.68,21.10,22.42
4,PEG Ratio (5 yr expected) 1,2.51,2.37,1.82,2.31,2.04,2.28
5,Price/Sales (ttm),4.91,4.05,3.20,4.47,4.20,4.24
6,Price/Book (mrq),4.28,3.85,3.23,4.70,4.49,4.64
7,Enterprise Value/Revenue 3,5.30,22.41,15.74,18.95,18.06,17.68
8,Enterprise Value/EBITDA 6,17.69,78.08,43.02,69.62,65.72,65.29
