,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,18.88B,18.05B,12.54B,20.65B,18.74B,19.44B
1,Enterprise Value 3,15.70B,13.14B,13.64B,20.23B,19.39B,21.42B
2,Trailing P/E,8.13,5.56,7.36,11.77,10.85,11.07
3,Forward P/E 1,8.55,9.96,5.71,9.29,8.21,9.12
4,PEG Ratio (5 yr expected) 1,2.19,2.55,0.95,1.55,2.57,2.85
5,Price/Sales (ttm),1.67,1.56,1.08,1.78,1.61,1.63
6,Price/Book (mrq),2.90,2.70,2.19,3.44,3.11,3.26
7,Enterprise Value/Revenue 3,1.29,4.81,4.51,6.52,5.79,6.53
8,Enterprise Value/EBITDA 6,,,,,,
