,Unnamed: 0,As of Date: 9/19/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,214.01B,254.46B,229.14B,256.76B,224.16B,214.31B
1,Enterprise Value 3,226.54B,273.57B,245.02B,273.64B,241.03B,230.77B
2,Trailing P/E,9.28,11.62,11.49,14.02,12.01,10.83
3,Forward P/E 1,10.48,12.87,11.15,12.47,11.11,11.05
4,PEG Ratio (5 yr expected) 1,1.73,1.92,1.84,1.61,1.65,1.72
5,Price/Sales (ttm),2.77,3.48,3.36,3.85,3.36,3.14
6,Price/Book (mrq),2.61,3.33,2.95,3.45,2.98,2.87
7,Enterprise Value/Revenue 3,2.87,13.87,12.36,13.54,12.56,13.98
8,Enterprise Value/EBITDA 6,5.72,29.79,25.00,24.55,25.36,31.13
