,Unnamed: 0,As of Date: 9/18/2020Current,8/31/2020,5/31/2020,2/29/2020,11/30/2019,8/31/2019
0,Market Cap (intraday) 5,227.51B,246.26B,185.57B,166.69B,149.30B,137.96B
1,Enterprise Value 3,226.97B,246.60B,186.11B,166.65B,149.78B,138.61B
2,Trailing P/E,59.74,67.73,58.58,57.52,55.08,53.18
3,Forward P/E 1,42.73,46.30,39.22,35.34,31.75,29.15
4,PEG Ratio (5 yr expected) 1,2.20,2.41,2.01,1.81,1.67,1.33
5,Price/Sales (ttm),18.56,20.80,16.25,15.19,14.34,13.94
6,Price/Book (mrq),19.42,22.63,17.73,15.83,14.58,13.89
7,Enterprise Value/Revenue 3,18.25,76.47,59.50,53.92,50.06,48.91
8,Enterprise Value/EBITDA 6,46.09,192.81,153.05,146.19,116.18,135.29
