,Unnamed: 0,As of Date: 9/18/2020Current,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
0,Market Cap (intraday) 5,188.84B,161.88B,139.58B,153.09B,147.97B,148.37B
1,Enterprise Value 3,203.49B,176.48B,154.33B,167.85B,163.78B,164.16B
2,Trailing P/E,62.01,46.18,38.31,47.21,51.65,57.60
3,Forward P/E 1,24.88,31.75,21.88,23.98,22.94,26.11
4,PEG Ratio (5 yr expected) 1,3.44,4.71,2.24,2.65,2.56,2.78
5,Price/Sales (ttm),6.05,5.08,4.41,4.93,4.80,4.85
6,Price/Book (mrq),6.18,5.36,4.49,4.81,4.67,4.81
7,Enterprise Value/Revenue 3,6.47,24.08,19.98,20.19,20.28,20.57
8,Enterprise Value/EBITDA 6,27.99,118.84,96.46,77.71,80.92,81.23
